Puzzle Number,Word 1,Word 2,Solution 1,Solution 2,Category 1,Category 2
0,TEST,DUMMY,TEST,DUMMY,noun,noun
1,SNOW,FLAKE,SNOW,FLAKE,noun,noun
2,JOLLY,ELF,JOLLY,ELF,adverb,noun
3,GIFT,WRAP,GIFT,WRAP,noun,verb
4,CANDLE,CRAGS,CANDLE,CRAGS,noun,noun
5,STAR,TREE,STAR,TREE,noun,noun
6,WREATH,HOLLY,WREATH,HOLLY,noun,adverb
7,COOKIE,MILK,COOKIE,MILK,noun,noun
8,RUDOLF,DASHER,RUDOLF,DASHER,noun,noun
9,TINSEL,WATER,TINSEL,WATER,noun,noun
10,BOX,UNWRAP,BOX,UNWRAP,noun,adjective
11,FROSTY,WINTER,FROSTY,WINTER,noun,noun
12,TURKEY,FAMILY,TURKEY,FAMILY,noun,noun
13,ADVENT,ICICLE,ADVENT,ICICLE,noun,noun
14,EGG,ALCOHOL,EGG,ALCOHOL,noun,noun
15,NOEL,EVE,NOEL,EVE,noun,adjective
16,COZY,FIRE,COZY,FIRE,noun,noun
17,CANDY,STRIPE,CANDY,STRIPE,noun,noun
18,HEARTH,WARM,HEARTH,WARM,noun,adjective
19,COAL,SOCKS,COAL,SOCKS,noun,noun
20,SLEIGH,BELL,SLEIGH,BELL,noun,noun
21,EGGNOG,AFTER,EGGNOG,AFTER,noun,preposition
22,YULE,LOG,YULE,LOG,noun,noun
23,MERRY,JOY,MERRY,JOY,noun,noun
24,WIN,BILLION,WIN,BILLION,verb,number
25,CALL,FORMAL,CALL,FORMAL,verb,adjective
26,DRY,AMAZING,DRY,AMAZING,adjective,adjective
27,WRITE,SING,WRITE,SING,verb,verb
28,DEBT,BUTTER,DEBT,BUTTER,noun,noun
29,BEND,BROKEN,BEND,BROKEN,verb,verb
30,FIT,ANXIOUS,FIT,ANXIOUS,verb,adjective
31,DVD,BICYCLE,DVD,BICYCLE,noun,noun
32,JUMP,FORGET,JUMP,FORGET,noun,verb
33,WHICH,MATCH,WHICH,MATCH,pronoun,verb
34,NECK,HUNGRY,NECK,HUNGRY,noun,adjective
35,QUICK,GROUP,QUICK,GROUP,adjective,noun
36,DUE,EXPLODE,DUE,EXPLODE,adjective,verb
37,CLUB,MYSELF,CLUB,MYSELF,noun,pronoun
38,KID,COMPLEX,KID,COMPLEX,noun,adjective
39,FIGHT,RIVER,FIGHT,RIVER,noun,noun
40,CROWD,PROVE,CROWD,PROVE,noun,verb
41,DUE,ACHIEVE,DUE,ACHIEVE,adjective,verb
42,FLOOD,CLIMB,FLOOD,CLIMB,noun,verb
43,FLY,ATTEMPT,FLY,ATTEMPT,verb,noun
44,FIX,WELCOME,FIX,WELCOME,verb,adjective
